"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.332068148E2,6.506288969E1,2.548190195E1,1.051568144E1,2.800000000E1,6.409999847E0,8.590000153E1,4.643602667E-1,3.000000000E0,1.000000000E2,1.600000000E1
1.342330187E2,6.506289414E1,2.548204646E1,1.051569621E1,2.800000000E1,6.579999924E0,8.640000153E1,4.714338295E-1,3.000000000E0,1.000000000E2,1.500000000E1
1.352297513E2,6.506289632E1,2.548219725E1,1.051571253E1,2.800000000E1,7.049999714E0,8.009999847E1,4.782046684E-1,3.500000000E0,1.000000000E2,1.600000000E1
1.362203754E2,6.506289841E1,2.548234158E1,1.051572815E1,2.800000000E1,6.609999657E0,7.919999695E1,4.848202901E-1,3.500000000E0,1.000000000E2,1.800000000E1
1.372128236E2,6.506290721E1,2.548248114E1,1.051574076E1,2.800000000E1,6.609999657E0,8.119999695E1,4.914849287E-1,3.500000000E0,1.000000000E2,1.900000000E1
1.382239137E2,6.506290927E1,2.548262321E1,1.051575614E1,2.800000000E1,6.859999657E0,8.540000153E1,4.983754584E-1,3.500000000E0,1.000000000E2,1.900000000E1
1.392244311E2,6.506290394E1,2.548276965E1,1.151577474E1,2.900000000E1,6.569999695E0,8.730000305E1,5.054751855E-1,3.500000000E0,1.000000000E2,1.900000000E1
1.402085788E2,6.506289933E1,2.548292069E1,1.151579359E1,2.900000000E1,6.629999638E0,8.509999847E1,5.117688900E-1,3.500000000E0,1.000000000E2,1.900000000E1
1.412128449E2,6.506289778E1,2.548305488E1,1.151580941E1,2.900000000E1,6.549999714E0,8.540000153E1,5.186895981E-1,3.000000000E0,1.000000000E2,1.800000000E1
1.422200848E2,6.506290206E1,2.548320215E1,1.051582456E1,2.800000000E1,6.569999695E0,8.369999695E1,5.257158797E-1,3.500000000E0,1.000000000E2,1.800000000E1
1.431678459E2,6.506290172E1,2.548335202E1,1.051584171E1,2.800000000E1,6.489999771E0,8.550000000E1,5.327068838E-1,3.500000000E0,1.000000000E2,1.700000000E1
1.442081662E2,6.506290218E1,2.548350113E1,9.515858477E0,2.700000000E1,6.750000000E0,8.659999847E1,5.394960480E-1,3.000000000E0,1.000000000E2,1.800000000E1
1.452241795E2,6.506290046E1,2.548364589E1,9.515875552E0,2.700000000E1,6.799999714E0,8.809999847E1,5.467148794E-1,3.000000000E0,1.000000000E2,1.700000000E1
1.462370410E2,6.506290080E1,2.548379987E1,9.515892919E0,2.700000000E1,6.690000057E0,8.959999847E1,5.533776260E-1,3.000000000E0,1.000000000E2,1.500000000E1
1.472174592E2,6.506289694E1,2.548394169E1,9.515910447E0,2.700000000E1,6.750000000E0,9.180000305E1,5.602650624E-1,3.000000000E0,1.000000000E2,1.600000000E1
1.482246163E2,6.506289011E1,2.548408770E1,8.515929543E0,2.600000000E1,6.670000076E0,9.009999847E1,5.673974032E-1,3.000000000E0,1.000000000E2,1.700000000E1
1.492323991E2,6.506289036E1,2.548423983E1,9.515946730E0,2.700000000E1,6.739999771E0,8.819999695E1,5.745180238E-1,2.500000000E0,1.000000000E2,1.800000000E1
1.501956622E2,6.506288999E1,2.548439171E1,9.515964120E0,2.700000000E1,6.699999809E0,9.109999847E1,5.816788424E-1,2.500000000E0,1.000000000E2,1.900000000E1
1.512226669E2,6.506289108E1,2.548454443E1,9.515981066E0,2.700000000E1,6.750000000E0,9.130000305E1,5.883864338E-1,2.500000000E0,1.000000000E2,1.700000000E1
1.522306411E2,6.506289724E1,2.548468675E1,9.515994970E0,2.700000000E1,6.569999695E0,8.859999847E1,5.949387802E-1,2.500000000E0,1.000000000E2,1.800000000E1
1.532357719E2,6.506290101E1,2.548482623E1,9.516009429E0,2.700000000E1,6.690000057E0,8.869999695E1,6.017899198E-1,2.500000000E0,1.000000000E2,1.800000000E1
1.542138754E2,6.506289774E1,2.548497216E1,9.516027204E0,2.700000000E1,6.609999657E0,8.980000305E1,6.085733686E-1,2.500000000E0,1.000000000E2,1.500000000E1
1.552274796E2,6.506289401E1,2.548511658E1,9.516044976E0,2.700000000E1,6.599999905E0,9.059999847E1,6.153706595E-1,2.500000000E0,1.000000000E2,1.600000000E1
1.562161550E2,6.506289221E1,2.548526150E1,9.516062098E0,2.700000000E1,6.750000000E0,8.980000305E1,6.220104281E-1,2.500000000E0,1.000000000E2,1.600000000E1
1.572165938E2,6.506289053E1,2.548540307E1,9.516078793E0,2.700000000E1,6.649999619E0,8.859999847E1,6.287895209E-1,2.500000000E0,1.000000000E2,1.600000000E1
1.582293536E2,6.506289523E1,2.548554724E1,1.051609345E1,2.800000000E1,6.349999905E0,8.459999847E1,6.355496717E-1,2.500000000E0,1.000000000E2,1.800000000E1
1.592268938E2,6.506290218E1,2.548569049E1,1.051610717E1,2.800000000E1,6.230000019E0,8.340000153E1,6.418579456E-1,2.500000000E0,1.000000000E2,1.900000000E1
